model,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,episode,popup_triggered,step_at_popup
Heuristic,0,1,0,-485.37,411,0.999,136,0.02265,0,1,276
Heuristic,0,1,0,-485.76,463,1.0,173,0.02518,1,1,291
Heuristic,0,1,0,-487.94,350,0.994,130,0.02286,2,1,221
Heuristic,0,1,0,-485.1,541,0.997,216,0.0248,3,1,326
Heuristic,0,1,0,-473.61,603,0.999,168,0.02581,4,1,436
Heuristic,0,1,0,-490.02,320,0.996,131,0.02257,5,1,190
Heuristic,0,1,0,-482.91,504,0.996,181,0.02453,6,1,324
Heuristic,0,1,0,-492.73,291,0.997,141,0.02187,7,1,151
Heuristic,0,1,0,-487.86,359,0.998,125,0.02319,8,1,235
Heuristic,0,1,0,-489.09,360,0.998,143,0.02218,9,1,218
Heuristic,0,1,0,-484.71,391,0.997,122,0.02346,10,1,270
Heuristic,0,1,0,-492.91,338,1.0,183,0.02336,11,1,156
Heuristic,0,1,0,-475.97,539,0.999,144,0.02601,12,1,396
Heuristic,0,1,0,-492.98,303,1.0,156,0.02298,13,1,148
Heuristic,0,1,0,-478.14,494,0.995,134,0.02624,14,1,361
Heuristic,0,1,0,-492.45,496,1.0,253,0.0234,15,1,244
Heuristic,0,1,0,-493.04,294,1.0,147,0.02241,16,1,148
Heuristic,0,1,0,-484.6,449,0.995,171,0.02336,17,1,279
Heuristic,0,1,0,-483.49,456,0.999,157,0.02508,18,1,300
Heuristic,0,1,0,-498.02,566,1.0,340,0.0223,19,1,227
Heuristic,0,1,0,-491.57,315,0.998,142,0.02115,20,1,174
Heuristic,0,1,0,-486.47,348,0.996,101,0.0232,21,1,248
Heuristic,0,1,0,-483.43,396,0.995,112,0.02496,22,1,285
Heuristic,0,1,0,-479.29,525,0.996,152,0.02371,23,1,374
Heuristic,0,1,0,-473.08,611,1.0,153,0.02688,24,1,459
Heuristic,0,1,0,-485.93,384,1.0,129,0.02382,25,1,256
Heuristic,0,1,0,-495.92,262,0.997,158,0.02158,26,1,105
Heuristic,0,1,0,-481.68,422,0.996,109,0.02466,27,1,314
Heuristic,0,1,0,-480.45,490,1.0,146,0.0255,28,1,345
Heuristic,0,1,0,-486.64,482,0.997,217,0.02492,29,1,266
Heuristic,0,1,0,-498.74,247,1.0,175,0.02136,30,1,73
Heuristic,0,1,0,-483.36,405,0.996,117,0.02406,31,1,289
Heuristic,0,1,0,-492.89,295,0.997,145,0.02144,32,1,151
Heuristic,0,0,0,-189.68,3999,1.143,673,0.00738,33,1,250
Heuristic,0,0,1,-553.07,2349,1.2,935,0.01205,34,1,315
Heuristic,0,1,0,-484.53,385,0.996,121,0.02456,35,1,265
Heuristic,0,1,0,-480.42,551,0.996,189,0.02572,36,1,363
Heuristic,0,1,0,-486.85,357,0.999,119,0.0232,37,1,239
Heuristic,0,1,0,-484.81,493,0.996,190,0.02443,38,1,304
Heuristic,0,1,0,-502.43,266,0.998,217,0.02088,39,1,50
Heuristic,0,1,0,-479.32,552,0.996,185,0.0254,40,1,368
Heuristic,0,1,0,-486.72,421,0.993,179,0.02359,41,1,243
Heuristic,1,0,0,1000.81,3370,1.129,987,0.00934,42,1,89
Heuristic,0,1,0,-484.99,581,0.998,237,0.02326,43,1,345
Heuristic,0,1,0,-483.92,421,1.0,131,0.0239,44,1,291
Heuristic,0,1,0,-489.19,327,0.995,127,0.02285,45,1,201
Heuristic,0,1,0,-489.34,502,0.998,231,0.02326,46,1,272
Heuristic,0,1,0,-504.6,415,0.999,313,0.0205,47,1,103
Heuristic,0,1,0,-487.14,427,0.996,189,0.02388,48,1,239
Heuristic,0,1,0,-487.94,356,0.993,136,0.02265,49,1,221
